# {"t_start": 1591841163.6566856, "env_id": "Humanoid-v2"} 
r,l,t
92.272982,19,5.701794
96.957204,20,5.836689
82.55638,17,5.955227
168.670686,33,6.145998
86.881888,18,6.310893
103.84442,21,6.453957
82.742034,17,6.531298
81.374708,17,6.648747
108.902121,25,6.829367
114.66646,23,7.034458
111.674196,24,7.243526
81.666624,17,7.369719
86.239113,18,7.554929
88.073291,18,7.64657
178.571508,38,7.956269
93.682141,19,8.08806
81.401251,17,8.207916
97.217146,20,8.347568
81.498245,17,8.45296
124.602464,26,8.599569
81.346061,17,8.705252
76.444539,16,8.801581
129.543878,26,8.957517
81.216708,17,9.071038
81.251525,17,9.184805
81.336239,17,9.292197
124.00463,24,9.459337
155.475865,30,9.696385
81.076336,17,9.813925
129.621036,26,9.972701
124.378134,25,10.086689
81.191422,17,10.184894
85.867205,18,10.320808
166.97922,35,10.537588
91.738184,19,10.672916
91.060403,19,10.79591
208.67699,40,11.062533
76.696135,16,11.162066
81.492007,17,11.266975
86.443865,18,11.378855
160.573426,33,11.614597
102.078311,21,11.756572
93.713946,20,11.875956
81.567228,17,11.968722
91.607809,19,12.107589
158.762472,31,12.309348
93.089832,19,12.409312
131.206546,27,12.547604
106.303428,22,12.711299
86.775642,18,12.828963
96.306712,20,12.952535
115.188284,25,13.098185
123.285193,25,13.261779
97.41402,20,13.379764
81.229752,17,13.49245
124.552972,25,13.652049
113.038847,23,13.862479
148.781309,32,14.050431
144.855953,29,14.23174
100.89765,20,14.380417
138.623472,28,14.62437
179.918736,35,14.903497
86.514454,18,15.113898
144.391591,29,15.311761
86.603633,18,15.453006
86.272697,18,15.57746
152.946034,34,15.850606
143.463534,31,16.065012
81.234004,17,16.182789
86.179981,18,16.292457
81.335353,17,16.43592
155.537637,30,16.660485
87.201181,18,16.810334
85.735959,18,16.981757
146.023338,29,17.192827
81.659566,17,17.31417
101.793236,20,17.483707
117.226485,25,17.680987
76.277273,16,17.821426
126.065687,25,18.088323
87.240637,18,18.215112
113.865129,23,18.459009
97.695913,20,18.648393
183.601778,36,18.905768
173.640462,37,19.21508
127.402601,25,19.396124
81.388724,17,19.506706
83.060391,17,19.632049
128.076452,26,19.798344
148.279389,31,20.007631
81.549802,17,20.11342
175.851665,36,24.369862
134.609328,27,24.560415
87.175412,18,24.675615
129.275871,26,24.838354
81.392546,17,24.946385
92.209676,19,25.065937
76.651333,16,25.164521
144.61475,28,25.341789
87.426511,18,25.485881
123.138427,25,25.75719
