# {"t_start": 1591861068.7047625, "env_id": "Humanoid-v2"} 
r,l,t
180.276518,36,3.106121
76.246497,16,3.148345
99.393521,23,3.207128
187.793099,37,3.315129
134.593232,27,3.387571
127.439186,25,3.457602
76.771686,16,3.501303
107.776657,23,3.565686
87.045521,18,3.613724
85.715848,18,3.661347
86.274723,18,3.711501
117.085926,24,3.772607
98.502904,20,3.825079
81.315986,17,3.869636
92.061032,19,3.921204
89.567228,18,3.97235
86.713687,18,4.026726
86.895244,18,4.08533
123.744792,25,4.162367
106.677556,22,4.221473
147.173768,31,4.307887
97.858904,20,4.366895
88.831166,18,4.423376
81.210098,17,4.471571
126.067673,28,4.546267
81.448923,17,4.598364
125.927557,25,4.671031
86.863301,18,4.722102
98.143559,20,4.77682
108.216512,22,4.831686
81.78768,17,4.874648
76.763879,16,4.914264
91.845431,19,4.96639
169.051338,35,5.055795
76.462947,16,5.095135
104.886899,22,5.161112
76.582553,16,5.208145
96.239785,20,5.268502
119.947185,25,5.339239
81.486136,17,5.388652
198.504154,39,5.502669
91.747157,19,5.557991
86.516298,18,5.608053
133.629265,28,5.686394
81.537297,17,5.73398
81.561494,17,5.78433
82.099688,17,5.831899
95.044395,20,5.889951
220.570425,44,6.018636
81.283736,17,6.067508
176.811912,35,6.182878
147.275767,30,6.271071
81.792779,17,6.320872
103.607397,21,6.381558
134.80918,29,6.470049
76.455575,16,6.516937
81.257086,17,6.567091
86.619947,18,6.61696
93.17241,19,6.673671
92.917364,19,6.727733
86.440356,18,6.778157
101.794071,22,6.842687
81.265298,17,6.889046
81.572283,17,6.938818
193.197985,42,7.056392
138.899931,30,7.144588
81.678728,17,7.200958
153.156914,32,7.308773
118.869751,25,7.380995
141.700607,30,7.466924
76.420298,16,7.506411
98.070631,20,7.561732
257.436535,51,7.699664
76.464443,16,7.74478
81.62436,17,7.790825
98.477683,20,7.843065
95.176542,20,7.896831
106.379562,23,7.965111
138.005138,28,8.045692
179.214879,37,8.152598
124.713771,26,8.234611
105.436026,22,8.306688
85.330618,18,8.364629
132.022514,26,8.443552
91.965685,19,8.502411
81.337708,17,8.55401
132.265401,28,8.635415
81.621272,17,8.685929
81.352661,17,8.736386
92.618144,19,8.78984
94.399476,20,8.84554
99.042192,20,10.733684
91.302568,19,10.789868
132.547246,27,10.871326
95.235722,19,10.928194
87.436029,18,10.979827
93.043629,19,11.032227
87.284286,18,11.084283
121.357074,25,11.164323
76.660383,16,11.211311
144.481271,29,11.289077
76.48617,16,11.331327
114.478178,25,11.397211
81.174071,17,11.450803
76.647651,16,11.496455
81.421206,17,11.544388
112.274819,22,11.604856
117.935711,23,11.668477
81.175514,17,11.719229
93.562868,19,11.771278
149.238065,30,11.855175
112.130937,23,11.915504
121.419827,24,11.980388
92.332881,19,12.034376
202.675237,44,12.155499
141.497005,29,12.236549
76.394567,16,12.283758
97.730674,20,12.342553
76.679275,16,12.388659
93.030029,19,12.444424
171.994012,37,12.547597
110.280538,22,12.609767
81.333903,17,12.655907
132.656089,27,12.735595
76.615643,16,12.780113
134.993578,27,12.856365
138.573528,30,12.940667
76.264114,16,12.98237
194.673193,38,13.099706
81.562423,17,13.150634
147.560845,29,13.237889
86.487656,18,13.292456
89.874663,19,13.345989
76.587714,16,13.396529
109.820388,22,13.459489
86.873281,18,13.511451
135.801859,28,13.595815
93.77762,19,13.651263
76.377366,16,13.699972
243.180368,47,13.851215
184.68873,38,13.970567
91.632873,19,14.036796
99.010296,20,14.097921
104.740348,22,14.168306
100.343269,21,14.247774
225.523578,45,14.38966
86.562256,18,14.444298
179.033073,35,14.546714
86.545552,18,14.602239
135.296904,28,14.684979
114.185156,23,14.75564
97.578438,20,14.814668
108.026031,22,14.886688
87.561093,18,14.942806
157.611532,32,15.043237
76.672836,16,15.091158
87.719963,18,15.146133
86.687562,18,15.20468
148.561774,29,15.283762
81.385799,17,15.331209
124.029168,25,15.398738
106.638827,21,15.460291
81.113103,17,15.508438
71.519842,15,15.55392
116.40974,24,15.628272
158.255314,32,15.717789
89.085719,18,15.768138
127.805085,25,15.834919
101.994911,21,15.892747
86.534967,18,15.946368
92.530678,19,16.003874
81.381815,17,16.052441
117.347208,27,16.131268
76.557311,16,16.176705
76.511686,16,16.230474
140.959813,29,16.314812
124.698844,26,16.389344
86.146995,18,16.446049
76.477819,16,16.486217
90.788074,19,16.541682
93.742786,20,16.601283
128.033644,26,16.674532
81.28315,17,18.46905
103.011162,21,18.526041
210.487903,43,18.652085
113.823093,23,18.719913
77.089401,16,18.765262
100.520089,21,18.822663
130.815111,29,18.906908
88.18089,18,18.963184
104.967556,22,19.031574
92.959472,19,19.089784
92.393965,19,19.145033
97.226285,20,19.199483
129.250179,26,19.271779
71.722867,15,19.315811
86.657217,18,19.363795
114.827264,24,19.434468
118.418989,23,19.495634
81.33171,17,19.541389
99.185902,21,19.596866
181.628108,37,19.698663
114.862319,24,19.765614
81.691711,17,19.810831
76.652382,16,19.85582
95.717747,20,19.914516
81.067549,17,19.960917
119.69041,24,20.025485
181.254071,35,20.118134
81.526517,17,20.16836
126.161344,25,20.237775
86.147272,18,20.285058
86.282794,18,20.332964
81.348921,17,20.379706
115.770414,24,20.445643
145.152208,31,20.538052
116.372199,23,20.595863
87.83807,18,20.642236
142.595064,30,20.731105
81.106883,17,20.77639
86.231055,18,20.821687
91.693596,19,20.873279
81.137332,17,20.918693
140.560903,29,21.003954
109.165873,22,21.066235
144.401597,29,21.152228
142.453805,29,21.234446
196.487655,44,21.364581
86.172124,18,21.412225
76.674017,16,21.45452
91.667369,19,21.509857
139.315838,30,21.596366
81.673128,17,21.644154
87.0971,18,21.694131
105.057686,21,21.752409
81.495306,17,21.803247
114.099483,24,21.871545
182.048472,36,21.969588
86.488268,18,22.019619
122.382156,24,22.090099
108.731127,22,22.156665
97.656403,20,22.212285
191.678505,43,22.336565
119.899283,24,22.407791
132.002636,27,22.48363
132.679162,28,22.559734
89.260736,19,22.611134
81.318726,17,22.659702
91.487015,19,22.714994
81.520139,17,22.76363
76.475484,16,22.81877
81.53743,17,22.876176
81.326001,17,22.926554
88.961278,19,22.980875
151.322566,32,23.063726
117.177485,24,23.129088
105.968512,21,23.197583
102.810716,21,23.258869
92.486587,19,23.310807
86.5411,18,23.362886
157.92627,30,23.450747
96.727293,20,23.511106
125.566282,25,23.585081
143.363431,32,23.676332
117.099487,24,23.753318
175.513537,35,23.863331
76.489756,16,23.911956
96.989077,20,23.969548
98.256343,20,24.031102
81.039372,17,24.095398
81.591259,17,24.150336
86.745807,18,24.209916
130.468986,26,24.286046
159.646044,31,26.15122
130.399856,29,26.236402
139.00019,27,26.319988
110.301878,22,26.386038
81.891333,17,26.43782
102.690845,22,26.504198
86.11821,18,26.563879
214.421368,44,26.697737
91.72245,19,26.754016
88.35642,18,26.808151
147.463863,31,26.905712
149.341105,31,26.994231
141.318897,28,27.079645
114.991034,23,27.146132
83.257844,17,27.191192
96.044354,20,27.247284
108.000583,22,27.30952
95.866677,20,27.364949
81.017672,17,27.413437
116.306092,24,27.485923
110.228649,22,27.546654
141.574504,30,27.628913
86.571029,18,27.677168
81.468144,17,27.729403
117.675971,24,27.802092
122.771326,25,27.87394
153.40743,33,27.963892
148.13935,29,28.038743
170.604168,36,28.131087
81.46128,17,28.177503
90.812027,19,28.230395
131.779841,26,28.29897
127.883263,26,28.364968
82.395533,17,28.414574
102.856349,21,28.47617
151.96766,29,28.554226
86.67421,18,28.59965
101.127584,21,28.659454
127.663459,29,28.742355
81.736119,17,28.785997
143.945358,29,28.867647
132.700939,27,28.945417
110.255456,22,29.006122
76.79734,16,29.054737
112.123062,25,29.127289
82.087511,17,29.173113
92.497297,19,29.227458
163.262699,35,29.330809
156.946234,34,29.431555
87.572672,18,29.48354
106.862133,24,29.550304
76.784385,16,29.603491
81.258136,17,29.65488
76.61487,16,29.704537
140.628298,28,29.785387
106.205173,22,29.857075
87.664591,18,29.910456
157.395585,32,30.004328
116.40682,25,30.078019
76.574715,16,30.13043
92.920693,19,30.18784
103.449293,22,30.251547
124.673918,25,30.31969
146.743679,29,30.400588
86.798029,18,30.45458
81.040835,17,30.504863
81.528844,17,30.554366
81.304868,17,30.603584
126.535268,24,30.681149
81.174018,17,30.729258
139.108343,28,30.804011
108.945356,22,30.86416
107.051503,22,30.931439
76.614725,16,30.974446
76.79641,16,31.020411
104.156753,21,31.084344
112.15776,22,31.150448
92.561529,19,31.203224
83.119971,17,31.250418
164.273274,33,31.342321
100.095059,20,31.401566
160.720093,32,31.493831
87.961142,18,31.548644
149.06027,30,31.636145
133.684637,28,31.725409
162.483851,33,31.821256
135.884161,28,31.902197
165.904826,34,32.001351
176.000163,37,33.920015
91.123942,19,33.977615
140.733571,28,34.060943
137.064975,28,34.14298
81.143009,17,34.19084
99.359399,20,34.247742
125.322944,26,34.324333
173.125935,37,34.429912
92.354888,19,34.486079
110.679387,23,34.551301
130.897275,28,34.63637
76.446163,16,34.685544
86.174503,18,34.737834
104.307491,21,34.798042
327.869181,58,34.978467
81.487121,17,35.033487
87.421076,18,35.089776
92.517397,19,35.145282
144.711209,29,35.229391
139.805937,28,35.311788
94.554761,19,35.367811
92.482707,19,35.418221
130.449456,28,35.494665
76.585438,16,35.537666
105.394471,21,35.603697
96.156205,20,35.661084
106.0536,22,35.723674
81.592174,17,35.767788
164.135238,33,35.869265
93.426932,19,35.921694
120.780244,25,35.990934
81.729934,17,36.036576
124.963945,25,36.108306
109.865115,22,36.171397
101.893621,21,36.231409
157.581789,32,36.320693
87.163516,18,36.370179
212.138479,43,36.502591
132.562026,27,36.580739
142.077645,29,36.660293
186.978628,35,36.75249
104.110206,21,36.816995
92.277023,19,36.876874
126.279292,26,36.95774
154.389854,30,37.037314
214.684375,45,37.165573
112.641498,23,37.226381
76.444174,16,37.265879
85.961136,18,37.31482
125.596363,26,37.385549
186.418116,37,37.494547
134.31168,29,37.575241
90.248012,19,37.631021
103.7525,21,37.692061
81.554295,17,37.741485
86.602434,18,37.790075
106.962903,21,37.848215
165.963927,34,37.943206
123.892507,26,38.016051
115.623257,23,38.07967
118.902621,24,38.145113
117.304873,24,38.21354
81.402442,17,38.264286
91.901853,19,38.321316
76.759498,16,38.37045
100.122951,20,38.4278
86.842102,18,38.481732
82.928532,17,38.529289
146.982024,31,38.629128
94.815812,21,38.692089
76.491908,16,38.743997
157.514705,33,38.847196
110.702033,22,38.912124
76.811533,16,38.960532
112.851727,23,39.027378
214.606139,45,39.164773
105.2973,21,39.233988
151.77382,30,39.323627
76.641395,16,39.37358
94.181106,19,39.427377
97.631642,20,39.48493
152.06995,31,39.578919
234.175899,45,39.712329
143.728396,28,39.793616
136.470606,29,41.736753
133.073001,27,41.820243
157.001187,29,41.904597
108.375168,22,41.968625
156.574143,34,42.06777
192.979371,36,42.171637
81.66937,17,42.230352
76.328172,16,42.279194
81.69797,17,42.326463
76.539691,16,42.374018
138.692382,27,42.458154
76.778941,16,42.508638
100.655313,20,42.568632
129.710583,30,42.659974
94.681446,19,42.714334
192.761543,42,42.833032
169.029258,34,42.922635
210.72201,41,43.042548
152.946332,33,43.130922
92.99319,20,43.186362
187.771942,37,43.290601
158.866445,31,43.380646
150.08935,31,43.464464
165.785261,33,43.55494
131.506578,27,43.638181
82.028428,17,43.685921
120.180355,24,43.753047
81.232273,17,43.797052
148.92373,32,43.883538
182.417828,39,43.994088
208.093033,41,44.112735
138.71122,29,44.198158
119.293018,24,44.28212
86.760889,18,44.336489
112.350241,23,44.404149
81.337704,17,44.450329
76.590777,16,44.493781
81.379411,17,44.539322
128.902494,26,44.609292
125.470754,26,44.678742
249.223262,48,44.814867
125.824748,27,44.886975
143.469166,28,44.959495
169.296204,32,45.050028
149.378105,32,45.133487
276.87785,59,45.300024
208.531177,44,45.422329
117.870454,24,45.489382
95.982394,20,45.549206
122.668428,24,45.621246
115.527959,25,45.701371
98.900793,20,45.759836
170.493697,36,45.860842
179.23613,35,45.970887
76.75764,16,46.016368
195.047369,38,46.13027
141.07086,29,46.210046
71.623242,15,46.252983
149.629844,30,46.34034
122.368926,25,46.415375
87.05266,18,46.478217
145.970706,31,46.574322
108.217029,24,46.660402
133.108463,27,46.750407
140.908564,27,46.83204
108.23733,21,46.893686
184.921222,39,47.0142
122.60516,25,47.097095
168.715819,34,47.208821
76.568207,16,47.262779
85.952599,18,47.320556
174.435144,35,47.436603
221.809584,49,47.59354
98.118773,20,47.658472
149.536805,31,49.587522
159.832306,33,49.697234
219.262038,41,49.816839
190.044012,38,49.926756
118.660664,27,50.001658
85.398733,18,50.056809
189.415924,37,50.166661
81.560876,17,50.217409
150.538754,31,50.309701
212.076347,41,50.439813
117.117281,26,50.518084
114.80509,24,50.591414
120.161084,24,50.663341
180.024709,39,50.773721
99.160346,20,50.833822
103.981436,21,50.903118
239.680131,50,51.058886
88.118108,18,51.10779
166.260664,34,51.202681
89.718242,19,51.255004
110.080354,22,51.31583
161.55553,32,51.404262
191.718266,36,51.503675
115.996142,23,51.564851
137.673477,28,51.63916
164.987342,33,51.737525
136.291895,28,51.825515
143.53729,28,51.899707
196.303032,45,52.02365
108.642323,22,52.080167
150.63154,32,52.167655
206.015535,40,52.278726
132.930298,29,52.360142
249.296387,51,52.506499
97.521999,20,52.56234
81.345885,17,52.613392
197.103125,41,52.731495
159.045601,32,52.817243
114.049093,23,52.878669
148.885255,30,52.963028
239.73879,48,53.092921
133.982471,26,53.165064
142.796117,31,53.251127
128.048317,25,53.323613
206.995274,42,53.443373
93.217508,19,53.498803
76.506439,16,53.544862
161.259796,35,53.635872
153.202359,31,53.729574
134.368237,27,53.810432
156.954883,32,53.901326
144.061044,29,53.996166
121.342148,25,54.070803
81.664852,17,54.124325
123.299094,24,54.19532
156.699903,33,54.295321
81.137941,17,54.347374
81.252334,17,54.398047
127.926064,26,54.475801
108.529329,22,54.540246
157.799441,32,54.633998
194.444263,38,54.746341
148.141947,32,54.844299
155.366376,32,54.935567
138.321083,28,55.023796
81.357751,17,55.081205
258.737214,53,55.251053
186.404578,37,55.372036
158.289573,32,55.475999
142.997248,28,57.429663
253.630939,50,57.574514
159.610077,31,57.669831
93.90325,20,57.730371
251.894404,49,57.867273
227.749285,44,57.993303
166.194927,37,58.098205
163.391773,33,58.193466
245.923267,48,58.338635
168.084506,35,58.440807
141.03365,28,58.525162
103.71057,21,58.592413
128.079199,26,58.673956
92.89162,19,58.731778
155.442209,33,58.831922
108.865524,23,58.895622
93.804087,19,58.948905
159.628529,32,59.039784
131.206285,26,59.110992
125.940629,25,59.183088
204.853355,41,59.291371
86.849014,18,59.342408
104.64176,23,59.405501
158.391973,32,59.496248
132.267421,28,59.57834
129.144916,25,59.66188
113.923397,23,59.723332
92.71751,19,59.776365
192.523163,39,59.887568
81.588193,17,59.937204
142.464565,28,60.014603
118.217334,25,60.084445
199.633637,37,60.183798
150.678892,31,60.269426
205.757191,44,60.391192
229.465582,45,60.521247
87.645399,18,60.568357
108.414546,22,60.636221
76.408178,16,60.681805
152.277884,30,60.768689
137.383899,28,60.853511
158.601763,33,60.950207
147.113132,28,61.033657
154.502175,32,61.130646
253.050521,50,61.280493
137.842463,26,61.360655
118.467132,24,61.434917
102.312715,21,61.493789
172.694281,34,61.60016
184.920304,35,61.702043
81.179337,17,61.754913
