# {"t_start": 1591861162.7128847, "env_id": "Humanoid-v2"} 
r,l,t
76.397801,16,2.12393
105.014244,21,2.187471
93.388984,19,2.235788
137.17917,27,2.311025
81.408627,17,2.362771
110.184854,22,2.433475
96.420295,20,2.494343
132.438802,27,2.569623
81.32627,17,2.618671
139.025938,29,2.703304
86.328833,18,2.750274
76.411485,16,2.792915
95.575524,20,2.850222
76.770794,16,2.895852
82.275634,17,2.947811
114.604831,23,3.010961
82.437401,17,3.064429
86.79765,18,3.116245
76.642925,16,3.162999
85.723649,18,3.217007
99.479453,21,3.278675
160.986343,32,3.37002
114.386462,23,3.440218
110.434434,22,3.5079
159.066397,33,3.601657
86.12245,18,3.654345
120.926926,24,3.724275
82.837583,17,3.786609
94.579357,19,3.846917
132.095453,27,3.924338
140.121051,28,4.004298
81.402239,17,4.056985
92.962283,20,4.11499
127.056381,25,4.192633
96.16421,19,4.252788
131.691692,26,4.33932
76.775034,16,4.395504
76.516295,16,4.445197
87.427293,18,4.496683
106.680393,22,4.557292
155.403967,32,4.646531
199.812615,40,4.76909
234.857387,49,4.909243
71.851068,15,4.953432
118.436031,24,5.021561
76.512824,16,5.066145
86.285203,18,5.118269
87.30825,18,5.167706
145.765683,29,5.252896
81.299195,17,5.300322
87.614375,18,5.349522
148.400411,30,5.43664
127.699161,25,5.50942
81.225217,17,5.560216
96.073928,20,5.615257
144.598888,28,5.698028
88.407905,18,5.747826
87.226641,18,5.796957
81.32802,17,5.845021
102.697623,21,5.905535
116.534516,23,5.968917
76.744741,16,6.016267
81.336692,17,6.068653
81.282634,17,6.123643
131.484108,29,6.21886
81.653488,17,6.267896
152.101608,29,6.360682
87.74102,18,6.415952
94.249892,19,6.4749
81.301822,17,6.528219
146.516897,30,6.62135
119.874585,24,6.691661
93.471181,19,6.743382
140.139885,30,6.832056
76.481047,16,6.880264
86.660817,18,6.936117
109.282551,22,7.007489
184.493911,38,7.122205
87.371121,18,7.171586
113.391656,23,7.241517
120.934414,24,7.309368
140.20371,30,7.40185
103.383383,21,7.468424
155.970439,34,7.577597
101.825509,21,7.640142
168.931791,35,7.740449
76.426916,16,7.786768
81.610535,17,7.835865
119.983485,26,7.913455
81.102638,17,7.959792
86.736466,18,8.012019
153.528054,32,8.106067
81.116971,17,9.978528
137.32278,27,10.05784
88.120066,18,10.109116
103.409659,21,10.171577
86.127264,18,10.223294
145.447718,28,10.310804
92.422843,19,10.364826
81.653342,17,10.410197
105.775616,22,10.475071
127.556139,25,10.548004
86.588402,18,10.602407
82.530499,17,10.651993
111.203541,24,10.716698
102.034979,21,10.773229
98.470113,20,10.831423
140.857814,27,10.911118
79.696607,17,10.959716
126.402747,25,11.034914
118.681563,25,11.111287
103.139184,21,11.177228
85.861423,18,11.230524
115.560471,24,11.292672
142.070236,29,11.373379
147.978552,31,11.466219
76.479568,16,11.51427
87.832067,18,11.567652
86.890469,18,11.620537
88.315269,18,11.666911
76.730257,16,11.712189
125.256771,25,11.784045
120.506601,25,11.855844
86.260224,18,11.906778
145.3189,31,11.996542
87.868551,18,12.049781
81.520811,17,12.098182
138.725191,27,12.175626
92.323179,19,12.22978
81.408952,17,12.281145
93.006221,19,12.330354
135.495623,27,12.408908
168.606235,35,12.515494
86.235851,18,12.56644
92.621545,19,12.620363
81.582187,17,12.669494
109.196002,22,12.731308
76.498115,16,12.775226
81.445198,17,12.822771
91.518064,19,12.874976
81.202143,17,12.92393
81.554976,17,12.973638
130.901759,27,13.052345
71.527798,15,13.096297
86.752106,18,13.154161
87.612043,18,13.205794
160.022564,32,13.295234
81.187884,17,13.341664
76.371686,16,13.386333
97.929932,21,13.447165
97.696631,20,13.513488
85.606653,18,13.568292
190.027084,38,13.678627
106.785681,22,13.73965
128.434291,27,13.818238
81.303216,17,13.864429
106.047683,21,13.926303
81.273895,17,13.979691
132.323405,28,14.06485
81.542741,17,14.115335
137.322079,28,14.201513
93.109531,19,14.252548
81.310994,17,14.299691
76.44877,16,14.347003
118.334217,23,14.411695
143.874476,29,14.500568
81.126223,17,14.548067
154.443575,34,14.651203
88.257955,18,14.706915
196.223636,39,14.825634
92.944519,19,14.881349
93.958346,19,14.939581
126.107021,27,15.021054
121.830493,24,15.08841
93.424915,20,15.14875
81.838922,17,15.19738
141.745299,30,15.291256
76.801304,16,15.336863
141.934269,28,15.424592
127.619397,27,15.504624
93.104624,20,15.56663
145.361214,29,15.658653
93.922605,19,15.71224
76.752022,16,15.75857
81.238235,17,15.811537
76.614022,16,15.860563
76.506519,16,15.901668
82.200371,17,17.626357
99.989913,20,17.696463
111.783904,22,17.765647
81.146094,17,17.81971
81.238981,17,17.875758
86.213045,18,17.923834
116.408239,23,17.989572
76.628677,16,18.038804
163.289187,34,18.145149
76.525458,16,18.189605
97.178837,20,18.245787
89.579788,19,18.295668
86.117278,18,18.350206
104.728454,22,18.411369
93.232454,19,18.468266
81.207601,17,18.514646
123.429249,25,18.587221
203.554748,42,18.707799
81.360884,17,18.756713
93.029037,19,18.813793
82.375711,17,18.863454
152.450321,31,18.953135
108.413993,22,19.011746
106.59532,21,19.07267
188.242401,39,19.198427
94.418307,19,19.257412
92.839278,19,19.314504
86.362132,18,19.366692
86.537323,18,19.417474
76.707255,16,19.464118
98.00121,20,19.521429
81.400183,17,19.57121
86.48946,18,19.621647
159.436608,32,19.714925
81.483963,17,19.759417
107.059396,22,19.82073
138.014574,28,19.901122
86.830698,18,19.955687
86.426577,18,20.011573
81.452144,17,20.058208
76.493905,16,20.100165
138.781688,30,20.187002
158.538086,31,20.273282
137.988287,27,20.349545
140.468081,28,20.426522
112.93758,23,20.499501
105.023128,21,20.562787
93.29147,19,20.619661
86.847616,18,20.672529
105.537779,21,20.730875
114.652609,23,20.793029
108.865079,23,20.862007
90.786988,19,20.91885
76.686369,16,20.963439
104.770815,21,21.021946
94.480023,19,21.073693
76.591568,16,21.11935
107.502849,22,21.185142
182.837595,38,21.296998
81.297558,17,21.346921
97.248719,21,21.40961
138.269981,27,21.492994
76.391402,16,21.541788
124.076369,25,21.609781
81.391134,17,21.660376
115.926115,23,21.731153
101.825622,20,21.787614
81.447279,17,21.832796
111.31989,23,21.894032
81.543239,17,21.939908
76.699754,16,21.991727
167.176983,32,22.081804
107.142812,22,22.152972
86.548429,18,22.207353
194.051519,39,22.325551
127.604771,25,22.40341
81.653748,17,22.459159
188.939245,38,22.565834
105.304735,21,22.62526
81.613114,17,22.674098
119.041948,24,22.74555
92.472769,19,22.803331
86.324589,18,22.854762
108.773342,22,22.917399
81.307959,17,22.961512
86.751342,18,23.014981
81.34923,17,23.062289
103.391416,21,23.129628
154.99248,30,23.221632
81.21132,17,23.274368
102.27511,21,23.337948
156.721465,32,23.431
92.447125,19,23.490457
141.52091,28,23.575782
125.148574,25,25.379489
128.604369,26,25.458045
81.227967,17,25.506777
226.478414,48,25.650254
112.452172,22,25.722028
103.548102,21,25.787806
109.689718,22,25.850971
121.377386,24,25.914886
173.037291,34,26.010646
174.602591,35,26.112496
93.122687,19,26.172795
159.309276,33,26.269495
76.541791,16,26.314892
141.361131,29,26.399737
188.388229,40,26.514463
76.549204,16,26.560128
76.413078,16,26.604455
121.967071,25,26.67565
110.270185,22,26.736669
114.97241,23,26.798768
166.060556,37,26.906335
86.248671,18,26.957923
86.83046,18,27.014752
92.098016,19,27.067406
136.106018,27,27.143197
96.392992,20,27.207174
89.311699,18,27.25911
196.203706,40,27.375113
150.991132,32,27.466356
81.863929,17,27.514387
76.803047,16,27.562437
170.679412,34,27.659216
91.439226,19,27.718661
119.470061,24,27.784433
85.846748,18,27.839653
198.938452,40,27.951333
76.64029,16,27.993318
81.665404,17,28.04492
81.099604,17,28.09262
